Rooms,Price,Bathroom,Landsize,Lattitude,Longtitude
2,1035000.0,1.0,156.0,-37.8079,144.9934
3,1465000.0,2.0,134.0,-37.8093,144.9944
4,1600000.0,1.0,120.0,-37.8072,144.9941
3,1876000.0,2.0,245.0,-37.8024,144.9993
2,1636000.0,1.0,256.0,-37.806,144.9954
2,1097000.0,1.0,220.0,-37.801,144.9989
3,1350000.0,2.0,214.0,-37.8085,144.9964
2,750000.0,2.0,0.0,-37.8078,144.9965
2,1310000.0,1.0,238.0,-37.809,144.9976
3,1200000.0,2.0,113.0,-37.8056,144.993
3,1176500.0,1.0,138.0,-37.8021,144.9965
2,890000.0,1.0,150.0,-37.8011,145.0004
4,1330000.0,2.0,780.0,-37.8073,144.9952
2,500000.0,1.0,0.0,-37.8015,144.9972
2,1100000.0,2.0,124.0,-37.8079,144.9977
2,1315000.0,1.0,147.0,-37.808,144.994
3,1447500.0,3.0,166.0,-37.8017,145.0001
2,1135000.0,2.0,98.0,-37.8005,144.9952
3,1290000.0,1.0,168.0,-37.8007,144.9958
1,470000.0,1.0,0.0,-37.8055,144.9961
2,1180000.0,1.0,162.0,-37.8016,144.9956
3,1195000.0,2.0,120.0,-37.8022,144.9954
2,1012500.0,1.0,182.0,-37.8021,144.9976
2,1030000.0,1.0,172.0,-37.8086,144.9946
3,840000.0,2.0,303.0,-37.718,144.878
3,730000.0,2.0,0.0,-37.7203,144.8755
3,770000.0,2.0,0.0,-37.7203,144.8755
2,603000.0,1.0,272.0,-37.7294,144.888
3,700000.0,2.0,239.0,-37.7218,144.8837
3,600000.0,1.0,290.0,-37.7273,144.8744
2,500000.0,1.0,168.0,-37.7215,144.8864
6,725000.0,3.0,976.0,-37.7239,144.8735
2,450000.0,1.0,110.0,-37.7216,144.871
2,515000.0,1.0,141.0,-37.7298,144.8883
2,530000.0,1.0,120.0,-37.7234,144.8792
3,895000.0,1.0,1063.0,-37.7249,144.8728
3,805000.0,1.0,0.0,-37.7217,144.8783
3,752000.0,1.0,265.0,-37.7302,144.8855
3,700000.0,2.0,165.0,-37.727,144.887
3,830000.0,1.0,971.0,-37.7186,144.876
2,675000.0,1.0,612.0,-37.7187,144.8765
3,1042000.0,2.0,612.0,-37.7173,144.8796
4,773000.0,3.0,531.0,-37.7263,144.8679
3,810000.0,3.0,555.0,-37.7285,144.8694
3,715000.0,2.0,422.0,-37.7164,144.8792
3,540000.0,2.0,161.0,-37.7231,144.8802
3,825000.0,2.0,293.0,-37.72,144.8776
3,685000.0,1.0,579.0,-37.7226,144.8733
4,900000.0,2.0,628.0,-37.7256,144.8739
2,1275000.0,1.0,120.0,-37.8459,144.9555
3,2850000.0,2.0,211.0,-37.8481,144.9499
3,1850000.0,2.0,128.0,-37.8452,144.9488
2,1436000.0,1.0,130.0,-37.8431,144.9565
4,2300000.0,2.0,153.0,-37.8447,144.9523
3,1800000.0,2.0,132.0,-37.8415,144.952
2,2120000.0,1.0,199.0,-37.8422,144.9554
3,1800000.0,2.0,90.0,-37.8421,144.9571
3,2615000.0,2.0,177.0,-37.8415,144.9585
3,1370000.0,2.0,0.0,-37.8451,144.9511
2,1322500.0,1.0,149.0,-37.8443,144.9481
2,1562500.0,1.0,141.0,-37.8424,144.9562
3,2000000.0,2.0,211.0,-37.847,144.9575
3,3010000.0,2.0,147.0,-37.8473,144.9551
4,2800000.0,3.0,327.0,-37.8467,144.9475
3,2100000.0,1.0,120.0,-37.8427,144.9546
3,2000000.0,1.0,238.0,-37.8461,144.9528
1,442500.0,1.0,0.0,-37.8421,144.9517
4,4735000.0,2.0,330.0,-37.8477,144.9558
4,2140000.0,2.0,183.0,-37.8434,144.9495
2,980000.0,1.0,79.0,-37.8387,144.9519
3,1740000.0,2.0,147.0,-37.8448,144.9453
1,985000.0,1.0,81.0,-37.8411,144.9497
4,2000000.0,2.0,853.0,-37.7707,145.0318
4,1717500.0,2.0,599.0,-37.7717,145.031
5,2840000.0,4.0,809.0,-37.775,145.0268
2,525500.0,1.0,88.0,-37.7791,145.0306
2,805000.0,2.0,155.0,-37.7804,145.0308
4,1830000.0,2.0,606.0,-37.7743,145.0316
4,2100000.0,2.0,575.0,-37.7723,145.0319
3,865000.0,1.0,180.0,-37.7802,145.0243
2,390000.0,1.0,0.0,-37.7773,145.0314
